transactiondate;time;category;type;amount;balance;bonusValue
03.01.2025;21:17;Супермаркеты;Списание;2200.93;2052695.29;+22.01
03.01.2025;14:08;Супермаркеты;Списание;3506.8;1113214.82;0
03.02.2025;23:51;Рестораны и кафе;Списание;4394.02;2570526.56;+43.94
03.02.2025;06:38;Прочие расходы;Списание;3272.34;2159592.31;0
03.02.2025;10:35;Супермаркеты;Списание;3712.28;8113825.65;+37.12
03.02.2025;08:57;Здоровье и красота;Списание;1543.68;5721540.34;+15.44
03.02.2025;01:49;Супермаркеты;Списание;4706.39;4766145.4;0
03.03.2025;08:50;Здоровье и красота;Списание;2444.6;6330854.88;+24.45
03.04.2025;16:55;Прочие расходы;Списание;2334.87;9379134.53;0
03.04.2025;13:07;Транспорт;Списание;791.94;5309068.17;0
03.04.2025;04:46;Зарплата;Пополнение;34403.43;3088604.25;0
03.04.2025;15:28;Рестораны и кафе;Списание;2594.36;3431977.64;0
03.04.2025;01:30;Зарплата;Пополнение;55657.56;618715.81;0
03.05.2025;11:58;Прочие расходы;Списание;3321.33;511946.6;0
03.05.2025;05:16;Перевод СБП;Пополнение;51809.68;4915474.49;0
03.05.2025;15:35;Здоровье и красота;Списание;3368.31;9388979.66;+33.68
03.05.2025;08:04;Прочие расходы;Списание;1254.47;9381469.4;+12.54
03.06.2025;18:49;Рестораны и кафе;Списание;2953.31;5392111.23;0
03.06.2025;05:31;Кэшбек;Пополнение;27437.78;2247187.96;0
03.06.2025;05:39;Зарплата;Пополнение;43839.87;7789112.75;0
03.06.2025;19:43;Рестораны и кафе;Списание;3351.91;9868280.42;+33.52
03.06.2025;11:40;Кэшбек;Пополнение;55510.62;3583180.06;0
03.07.2025;13:01;Перевод СБП;Пополнение;2074.87;5424603.9;0
03.07.2025;12:43;Супермаркеты;Списание;2239.17;7474996.13;+22.39
03.07.2025;10:11;Здоровье и красота;Списание;113.25;7958498.37;0
03.07.2025;23:29;Супермаркеты;Списание;4614.05;444837.08;+46.14
03.07.2025;23:43;Супермаркеты;Списание;1926.99;3157808.16;0
03.07.2025;14:45;Транспорт;Списание;4661.58;3366761.66;+46.62
03.08.2025;00:39;Зарплата;Пополнение;41604.58;7894774.21;0
03.09.2025;03:39;Зарплата;Пополнение;32738.81;2024144.02;0
03.09.2025;21:50;Прочие расходы;Списание;3079.48;515267.93;+30.79
03.09.2025;14:43;Супермаркеты;Списание;3452.73;8262927.92;+34.53
03.09.2025;17:30;Здоровье и красота;Списание;1585.4;8261342.52;+15.85
03.09.2025;01:04;Рестораны и кафе;Списание;3965.95;899964.31;0
03.09.2025;10:53;Рестораны и кафе;Списание;133.67;8749351.07;0
03.10.2025;19:52;Перевод СБП;Пополнение;25848.88;9856626.09;0
03.10.2025;03:38;Транспорт;Списание;2784.1;3527669.44;+27.84
03.11.2025;10:53;Прочие расходы;Списание;570.05;3366191.61;0
03.11.2025;08:06;Рестораны и кафе;Списание;3371.79;5185698.16;+33.72
03.12.2025;21:44;Прочие расходы;Списание;271.19;4961900.22;+2.71
03.12.2025;10:07;Супермаркеты;Списание;4547.37;6658136.75;0
03.12.2025;06:47;Здоровье и красота;Списание;828.38;9377029.24;+8.28
03.12.2025;17:42;Рестораны и кафе;Списание;4276.94;2838849.26;+42.77
04.01.2025;02:33;Перевод СБП;Пополнение;17732.52;3886091.83;0
04.03.2025;16:56;Кэшбек;Пополнение;31847.05;7242871.66;0
04.03.2025;09:53;Рестораны и кафе;Списание;1272.95;9362804.98;+12.73
04.04.2025;09:42;Супермаркеты;Списание;2177.24;563058.25;0
04.04.2025;06:36;Супермаркеты;Списание;126.1;3738274.78;+1.26
04.04.2025;06:29;Перевод СБП;Пополнение;56515.09;6732951.58;0
04.04.2025;09:41;Транспорт;Списание;2803.53;824479.1;0
04.05.2025;20:10;Перевод СБП;Пополнение;47937.44;8238794.28;0
04.06.2025;23:35;Здоровье и красота;Списание;4675.45;452970.3;0
04.06.2025;08:08;Супермаркеты;Списание;791.59;4096155.81;0
04.07.2025;22:30;Здоровье и красота;Списание;2634.85;2054896.22;0
04.07.2025;06:52;Прочие расходы;Списание;2174.6;6867097.14;0
04.07.2025;07:19;Зарплата;Пополнение;26795.62;232445.91;0
04.07.2025;22:26;Перевод СБП;Пополнение;38548.09;5429574.26;0
04.07.2025;06:48;Перевод СБП;Пополнение;3808.41;2767204.51;0
04.07.2025;07:18;Прочие расходы;Списание;786.21;9930873.45;+7.86
04.08.2025;14:40;Кэшбек;Пополнение;2687.13;3532047.4;0
04.09.2025;22:31;Прочие расходы;Списание;3628.21;5614130.58;0
04.10.2025;22:32;Рестораны и кафе;Списание;2680.4;5422529.03;0
04.12.2025;08:13;Супермаркеты;Списание;212.61;9385592.16;0
04.12.2025;10:32;Рестораны и кафе;Списание;282.09;2837150.81;+2.82
05.01.2025;17:43;Зарплата;Пополнение;13543.3;6310693.81;0
05.01.2025;14:35;Прочие расходы;Списание;801.93;6904278.03;+8.02
05.01.2025;02:12;Прочие расходы;Списание;2003.35;1849993.14;0
05.01.2025;05:29;Здоровье и красота;Списание;4242.29;8126589.04;0
05.02.2025;01:03;Зарплата;Пополнение;3622.52;9885865.43;0
05.03.2025;23:34;Здоровье и красота;Списание;212.56;7999428.97;0
05.05.2025;02:31;Здоровье и красота;Списание;3140.25;2186410.85;+31.4
05.05.2025;06:21;Супермаркеты;Списание;3086.78;2408464.11;+30.87
05.06.2025;06:44;Перевод СБП;Пополнение;22011.23;2269199.19;0
05.06.2025;21:58;Кэшбек;Пополнение;39453.04;6087843.74;0
05.06.2025;04:42;Супермаркеты;Списание;1958.6;2123612.09;+19.59
05.06.2025;18:04;Здоровье и красота;Списание;1251.23;832484.15;0
05.06.2025;14:32;Транспорт;Списание;3585.43;5304895.5;+35.85
05.07.2025;12:20;Здоровье и красота;Списание;1796.93;5396881.06;0
05.07.2025;02:34;Рестораны и кафе;Списание;4267.79;2987221.84;+42.68
05.07.2025;08:32;Рестораны и кафе;Списание;1642.98;6994155.62;0
05.07.2025;09:34;Перевод СБП;Пополнение;37796.18;1261199.9;0
05.07.2025;16:37;Супермаркеты;Списание;4234.83;5395917.38;0
05.08.2025;17:58;Кэшбек;Пополнение;5768.75;6781955.8;0
05.09.2025;04:52;Зарплата;Пополнение;38323.89;4393792.11;0
05.09.2025;04:34;Здоровье и красота;Списание;3043.32;1957526.27;0
05.09.2025;04:46;Транспорт;Списание;2878.54;7133493.94;0
05.10.2025;02:10;Прочие расходы;Списание;4670.58;6100460.28;+46.71
05.10.2025;16:06;Рестораны и кафе;Списание;4160.27;4337443.93;+41.6
05.10.2025;05:12;Кэшбек;Пополнение;15599.26;6876789.67;0
05.10.2025;17:49;Здоровье и красота;Списание;873.51;5861100.21;0
05.10.2025;08:39;Супермаркеты;Списание;1843.64;2415620.72;+18.44
05.12.2025;05:30;Супермаркеты;Списание;2161.27;5277382.23;0
05.12.2025;14:44;Прочие расходы;Списание;716.81;6372969.32;0
05.12.2025;13:15;Супермаркеты;Списание;2642.76;3951620.72;0
05.12.2025;04:35;Кэшбек;Пополнение;34798.25;8724442.54;0
06.01.2025;13:56;Транспорт;Списание;2748.15;6864640.49;0
06.01.2025;15:32;Супермаркеты;Списание;375.9;6905079.96;0
06.02.2025;02:41;Кэшбек;Пополнение;27604.92;1960569.59;0
06.02.2025;12:38;Здоровье и красота;Списание;4116.57;3579063.49;+41.17
06.04.2025;13:10;Прочие расходы;Списание;2722.47;4378935.07;+27.22
06.04.2025;17:53;Зарплата;Пополнение;34180.18;4215234.8;0
06.04.2025;03:33;Рестораны и кафе;Списание;507.68;2164294.14;0
06.04.2025;14:48;Зарплата;Пополнение;45327.15;1045875.29;0
06.04.2025;20:30;Перевод СБП;Пополнение;58716.72;8591338.03;0
06.04.2025;06:07;Прочие расходы;Списание;3762.4;7745272.88;0
06.05.2025;21:06;Кэшбек;Пополнение;3183.51;2737188.23;0
06.06.2025;02:17;Кэшбек;Пополнение;44082.1;2446003.56;0
06.07.2025;05:00;Зарплата;Пополнение;5496.55;9932847.45;0
06.07.2025;14:20;Супермаркеты;Списание;3365.34;7606505.79;0
06.07.2025;08:14;Прочие расходы;Списание;1862.24;1998856.86;0
06.07.2025;17:14;Перевод СБП;Пополнение;5924.69;6892876.61;0
06.08.2025;17:32;Кэшбек;Пополнение;14150.0;4875577.89;0
06.08.2025;18:09;Перевод СБП;Пополнение;1118.84;7623403.96;0
06.08.2025;04:35;Рестораны и кафе;Списание;190.42;452447.41;0
06.08.2025;16:40;Рестораны и кафе;Списание;3032.41;5866746.17;0
06.08.2025;18:11;Перевод СБП;Пополнение;15944.11;6796048.42;0
06.09.2025;13:30;Перевод СБП;Пополнение;55955.11;6190914.31;0
06.09.2025;03:27;Зарплата;Пополнение;20850.59;8052983.19;0
06.09.2025;21:50;Зарплата;Пополнение;32864.59;3313955.97;0
06.09.2025;17:29;Транспорт;Списание;2063.78;4962171.41;+20.64
06.10.2025;03:48;Супермаркеты;Списание;3174.89;9385804.77;+31.75
06.10.2025;09:58;Зарплата;Пополнение;14391.76;4105796.92;0
06.10.2025;08:23;Прочие расходы;Списание;4202.86;2129970.6;+42.03
06.11.2025;20:43;Прочие расходы;Списание;1195.96;6888476.16;0
06.11.2025;03:57;Перевод СБП;Пополнение;29708.25;8537551.26;0
06.11.2025;20:43;Рестораны и кафе;Списание;1206.44;9384385.72;+12.06
06.12.2025;00:18;Рестораны и кафе;Списание;1827.65;1560155.44;+18.28
06.12.2025;06:05;Супермаркеты;Списание;1027.11;5082285.08;+10.27
06.12.2025;20:09;Рестораны и кафе;Списание;3509.72;2187791.45;0
06.12.2025;12:33;Здоровье и красота;Списание;4555.6;2126940.72;+45.56
07.01.2025;09:03;Рестораны и кафе;Списание;1800.92;9501650.69;0
07.01.2025;16:22;Прочие расходы;Списание;1455.71;9858724.99;+14.56
07.01.2025;11:49;Кэшбек;Пополнение;39242.98;7613771.22;0
07.02.2025;00:21;Супермаркеты;Списание;4411.9;5388478.0;0
07.02.2025;15:27;Рестораны и кафе;Списание;615.81;5427079.91;0
07.02.2025;23:27;Кэшбек;Пополнение;15396.2;9822527.89;0
07.02.2025;01:01;Рестораны и кафе;Списание;4220.72;2182190.13;0
07.03.2025;07:47;Кэшбек;Пополнение;15312.12;1345613.33;0
07.03.2025;23:20;Прочие расходы;Списание;212.31;9392347.97;0
07.03.2025;15:59;Зарплата;Пополнение;21277.16;2671422.58;0
07.03.2025;13:10;Здоровье и красота;Списание;4822.33;5673069.36;0
07.05.2025;13:36;Перевод СБП;Пополнение;20517.46;4056327.05;0
07.05.2025;16:56;Кэшбек;Пополнение;4132.03;472248.64;0
07.05.2025;16:46;Кэшбек;Пополнение;41266.65;1085681.24;0
07.05.2025;06:45;Супермаркеты;Списание;3037.15;5858063.06;+30.37
07.05.2025;10:29;Рестораны и кафе;Списание;2184.58;2763396.1;+21.85
07.05.2025;02:15;Здоровье и красота;Списание;2779.83;1582219.71;0
07.05.2025;09:32;Рестораны и кафе;Списание;1638.37;9098224.3;+16.38
07.06.2025;20:02;Здоровье и красота;Списание;2702.44;2012849.98;0
07.06.2025;16:24;Супермаркеты;Списание;3584.79;5771445.63;0
07.06.2025;02:12;Прочие расходы;Списание;316.19;2603150.47;+3.16
07.07.2025;10:48;Рестораны и кафе;Списание;1474.25;9929399.2;+14.74
07.07.2025;20:54;Транспорт;Списание;2875.65;6549629.52;0
07.07.2025;04:32;Прочие расходы;Списание;4120.65;1330301.21;0
07.08.2025;08:37;Супермаркеты;Списание;3032.21;5419270.63;0
07.08.2025;21:09;Прочие расходы;Списание;670.96;2556037.42;0
07.08.2025;05:30;Супермаркеты;Списание;3810.68;1624706.28;0
07.08.2025;16:26;Супермаркеты;Списание;1303.66;9366442.99;+13.04
07.08.2025;12:50;Здоровье и красота;Списание;2890.74;4270708.37;0
07.09.2025;13:47;Рестораны и кафе;Списание;2140.73;5430616.21;+21.41
07.09.2025;11:24;Кэшбек;Пополнение;28954.04;7960734.81;0
07.10.2025;03:09;Прочие расходы;Списание;1212.51;7992481.95;0
07.10.2025;01:34;Зарплата;Пополнение;6863.49;982506.73;0
07.11.2025;23:35;Рестораны и кафе;Списание;3162.7;7995562.37;0
07.11.2025;01:32;Супермаркеты;Списание;1904.48;7731350.78;+19.04
07.12.2025;20:15;Транспорт;Списание;2665.6;6662684.12;0
07.12.2025;05:04;Супермаркеты;Списание;1828.27;7299906.73;+18.28
07.12.2025;23:54;Здоровье и красота;Списание;3449.74;4500066.09;0
08.01.2025;02:08;Кэшбек;Пополнение;17620.61;1549227.1;0
08.01.2025;03:19;Рестораны и кафе;Списание;1489.42;5191781.99;0
08.01.2025;01:34;Перевод СБП;Пополнение;53136.46;188887.38;0
08.01.2025;02:14;Прочие расходы;Списание;3360.45;9337892.42;0
08.01.2025;00:34;Кэшбек;Пополнение;10160.04;3437858.16;0
08.01.2025;01:01;Супермаркеты;Списание;4829.55;8256512.97;0
08.02.2025;22:31;Рестораны и кафе;Списание;1001.52;2650145.42;0
08.02.2025;00:59;Перевод СБП;Пополнение;18163.42;2945386.53;0
08.02.2025;21:31;Перевод СБП;Пополнение;10518.16;6676436.49;0
08.02.2025;06:59;Транспорт;Списание;3307.85;8639084.8;+33.08
08.02.2025;14:34;Здоровье и красота;Списание;2378.57;4963302.73;+23.79
08.02.2025;02:09;Транспорт;Списание;2523.68;2413097.04;+25.24
08.04.2025;06:17;Прочие расходы;Списание;1984.5;2171640.83;0
08.06.2025;21:09;Зарплата;Пополнение;22349.94;145328.88;0
08.06.2025;20:58;Зарплата;Пополнение;15772.3;4721690.48;0
08.06.2025;05:12;Здоровье и красота;Списание;2152.44;470096.2;0
08.06.2025;08:33;Прочие расходы;Списание;1224.75;9553180.64;+12.25
08.06.2025;05:07;Рестораны и кафе;Списание;3562.78;7239308.88;+35.63
08.07.2025;17:20;Рестораны и кафе;Списание;118.86;7358590.18;0
08.07.2025;01:36;Здоровье и красота;Списание;3959.55;7142470.08;0
08.08.2025;15:58;Зарплата;Пополнение;39781.14;8171738.89;0
08.08.2025;05:17;Перевод СБП;Пополнение;33598.81;6297150.51;0
08.08.2025;00:08;Прочие расходы;Списание;4065.8;5035793.82;+40.66
08.09.2025;22:27;Транспорт;Списание;1036.97;5189069.95;0
08.09.2025;16:26;Здоровье и красота;Списание;3991.16;5392889.9;0
08.10.2025;19:02;Супермаркеты;Списание;3067.61;7996361.36;+30.68
08.10.2025;14:46;Кэшбек;Пополнение;55270.15;2178882.24;0
08.11.2025;14:32;Прочие расходы;Списание;4929.95;8532621.31;0
08.11.2025;22:42;Зарплата;Пополнение;14884.89;64545.36;0
08.11.2025;19:27;Перевод СБП;Пополнение;48436.0;7042591.62;0
08.11.2025;07:37;Перевод СБП;Пополнение;10246.1;9882242.91;0
08.12.2025;02:30;Прочие расходы;Списание;4780.99;464731.01;0
08.12.2025;22:32;Зарплата;Пополнение;4668.32;2190168.17;0
08.12.2025;15:59;Рестораны и кафе;Списание;1594.84;8131957.75;+15.95
09.01.2025;06:25;Рестораны и кафе;Списание;2424.44;8745085.2;+24.24
09.01.2025;18:49;Рестораны и кафе;Списание;625.67;9885239.76;0
09.01.2025;01:08;Перевод СБП;Пополнение;10781.88;8645510.26;0
09.02.2025;18:56;Транспорт;Списание;4516.01;3103588.92;+45.16
09.03.2025;08:03;Зарплата;Пополнение;54966.03;3420488.87;0
09.03.2025;08:25;Перевод СБП;Пополнение;55432.72;8507843.01;0
09.03.2025;21:33;Перевод СБП;Пополнение;41679.95;6434066.0;0
09.03.2025;12:14;Прочие расходы;Списание;542.25;7356145.19;0
09.03.2025;21:32;Транспорт;Списание;134.28;4912968.1;+1.34
09.03.2025;22:08;Транспорт;Списание;2841.72;1550002.07;+28.42
09.03.2025;10:15;Супермаркеты;Списание;4287.1;7702843.76;0
09.04.2025;16:19;Транспорт;Списание;807.63;6247014.62;0
09.04.2025;01:41;Здоровье и красота;Списание;3877.34;8122711.7;0
09.04.2025;09:46;Перевод СБП;Пополнение;55554.01;7292553.07;0
09.05.2025;07:03;Транспорт;Списание;1682.66;5861973.72;0
09.06.2025;09:24;Транспорт;Списание;4216.15;3437199.94;+42.16
09.06.2025;02:12;Супермаркеты;Списание;4628.99;8640024.02;0
09.06.2025;01:17;Прочие расходы;Списание;1460.7;1044414.59;0
09.06.2025;11:13;Кэшбек;Пополнение;44319.75;5816441.4;0
09.06.2025;17:50;Зарплата;Пополнение;23071.91;3443232.35;0
09.07.2025;15:34;Рестораны и кафе;Списание;2663.3;3878017.51;+26.63
09.08.2025;06:36;Рестораны и кафе;Списание;1128.65;7355446.26;0
09.08.2025;06:53;Супермаркеты;Списание;4979.67;4624130.84;+49.8
09.08.2025;07:24;Здоровье и красота;Списание;1188.39;7583129.77;+11.88
09.09.2025;09:10;Прочие расходы;Списание;3611.42;4869910.35;+36.11
09.09.2025;18:29;Кэшбек;Пополнение;48301.84;7096417.39;0
09.09.2025;16:53;Кэшбек;Пополнение;12674.69;9835202.58;0
09.10.2025;12:36;Кэшбек;Пополнение;53636.64;9151580.16;0
09.10.2025;02:27;Рестораны и кафе;Списание;4000.78;6352940.68;+40.01
09.12.2025;10:56;Супермаркеты;Списание;697.28;7999641.53;+6.97
10.01.2025;08:38;Перевод СБП;Пополнение;27112.53;844933.64;0
10.01.2025;22:13;Рестораны и кафе;Списание;4637.93;2401921.46;+46.38
10.02.2025;14:10;Рестораны и кафе;Списание;4036.34;2015552.42;0
10.02.2025;17:05;Перевод СБП;Пополнение;40802.2;5281345.61;0
10.03.2025;20:12;Супермаркеты;Списание;4931.9;6883165.2;0
10.03.2025;08:10;Прочие расходы;Списание;95.44;188791.94;0
10.03.2025;14:28;Кэшбек;Пополнение;6303.98;4228654.84;0
10.04.2025;22:01;Рестораны и кафе;Списание;1247.08;183405.63;0
10.04.2025;00:28;Кэшбек;Пополнение;46662.9;8005161.27;0
10.05.2025;02:30;Супермаркеты;Списание;1234.07;7959413.7;+12.34
10.05.2025;22:40;Рестораны и кафе;Списание;3763.37;5902176.04;0
10.05.2025;03:09;Прочие расходы;Списание;3084.97;982027.4;+30.85
10.06.2025;11:10;Транспорт;Списание;4665.15;7048957.65;0
10.07.2025;02:10;Здоровье и красота;Списание;1742.95;5773841.1;+17.43
10.07.2025;13:06;Здоровье и красота;Списание;2059.57;1992232.76;+20.6
10.07.2025;01:59;Перевод СБП;Пополнение;34465.79;6938743.82;0
10.07.2025;17:47;Перевод СБП;Пополнение;5454.93;6320979.68;0
10.07.2025;04:07;Рестораны и кафе;Списание;62.78;5391026.17;0
10.08.2025;06:32;Супермаркеты;Списание;3245.05;5412481.7;+32.45
10.08.2025;19:55;Здоровье и красота;Списание;2916.72;3433213.03;+29.17
10.09.2025;18:01;Прочие расходы;Списание;4593.34;707177.03;+45.93
10.10.2025;11:41;Рестораны и кафе;Списание;2404.27;2675837.2;+24.04
10.10.2025;14:16;Транспорт;Списание;2424.16;4423629.14;0
10.10.2025;20:06;Зарплата;Пополнение;18421.48;1531606.49;0
10.10.2025;00:21;Перевод СБП;Пополнение;9023.06;5780468.69;0
10.10.2025;05:08;Рестораны и кафе;Списание;550.61;6662666.93;0
10.10.2025;04:32;Кэшбек;Пополнение;3554.61;9860180.7;0
10.10.2025;00:41;Прочие расходы;Списание;1148.52;2569378.04;+11.49
10.10.2025;11:19;Супермаркеты;Списание;1589.8;7978466.69;+15.9
10.11.2025;17:52;Кэшбек;Пополнение;56397.18;5242095.34;0
10.11.2025;11:08;Рестораны и кафе;Списание;987.36;2264808.58;0
10.12.2025;05:58;Рестораны и кафе;Списание;1155.38;4039940.04;0
11.01.2025;16:35;Прочие расходы;Списание;3717.92;7351728.34;+37.18
11.01.2025;05:54;Зарплата;Пополнение;56154.68;520885.69;0
11.01.2025;09:04;Здоровье и красота;Списание;1834.02;7354311.17;0
11.01.2025;10:58;Зарплата;Пополнение;5651.31;5772121.65;0
11.01.2025;14:56;Рестораны и кафе;Списание;2309.82;7236999.06;+23.1
11.01.2025;01:22;Рестораны и кафе;Списание;4637.25;3347103.65;+46.37
11.02.2025;06:57;Супермаркеты;Списание;4348.81;7619055.15;+43.49
11.02.2025;22:39;Транспорт;Списание;4750.65;4091405.16;+47.51
11.02.2025;06:03;Транспорт;Списание;944.83;1440084.53;+9.45
11.03.2025;20:07;Здоровье и красота;Списание;1229.6;7991328.63;0
11.03.2025;15:01;Супермаркеты;Списание;2835.18;7998725.07;0
11.04.2025;18:34;Супермаркеты;Списание;4535.39;2167105.44;0
11.04.2025;23:12;Зарплата;Пополнение;15577.68;7993694.46;0
11.04.2025;11:39;Зарплата;Пополнение;12601.68;5478562.83;0
11.05.2025;00:30;Кэшбек;Пополнение;41297.15;1334421.86;0
11.05.2025;18:00;Прочие расходы;Списание;3675.83;9382723.87;+36.76
11.05.2025;08:02;Рестораны и кафе;Списание;437.8;2843126.2;+4.38
11.05.2025;14:11;Кэшбек;Пополнение;29686.16;4675679.15;0
11.05.2025;11:26;Прочие расходы;Списание;1543.18;4429291.68;+15.43
11.07.2025;08:49;Здоровье и красота;Списание;4419.09;1994437.77;+44.19
11.07.2025;10:57;Рестораны и кафе;Списание;4544.56;7980056.49;+45.45
11.08.2025;12:29;Супермаркеты;Списание;2412.12;4381657.54;0
11.10.2025;22:58;Перевод СБП;Пополнение;6063.39;4965870.29;0
11.10.2025;15:05;Транспорт;Списание;80.76;5395064.54;0
11.11.2025;01:57;Кэшбек;Пополнение;56384.33;6249706.44;0
11.11.2025;23:31;Рестораны и кафе;Списание;1374.07;4341604.2;0
11.12.2025;09:45;Зарплата;Пополнение;1148.98;565235.49;0
12.01.2025;22:29;Супермаркеты;Списание;2096.33;2304766.59;+20.96
12.02.2025;11:02;Транспорт;Списание;1453.26;3360246.38;+14.53
12.02.2025;16:50;Прочие расходы;Списание;224.59;1119532.95;+2.25
12.03.2025;00:07;Зарплата;Пополнение;5225.7;2419100.12;0
12.03.2025;06:39;Рестораны и кафе;Списание;2025.57;6890851.04;0
12.03.2025;11:14;Рестораны и кафе;Списание;1013.55;8946542.89;0
12.03.2025;13:09;Прочие расходы;Списание;1887.75;6547741.77;0
12.03.2025;18:26;Кэшбек;Пополнение;46837.53;4632077.55;0
12.04.2025;18:04;Прочие расходы;Списание;4646.81;9374487.72;0
12.05.2025;22:19;Кэшбек;Пополнение;24321.4;2077016.69;0
12.06.2025;11:11;Перевод СБП;Пополнение;16031.95;966545.76;0
12.06.2025;11:28;Супермаркеты;Списание;1020.43;5775680.9;0
12.06.2025;00:19;Зарплата;Пополнение;22689.16;5435170.86;0
12.06.2025;09:15;Здоровье и красота;Списание;3836.19;9496440.2;+38.36
